mpio_reg_code_7,error
2700046,404
1500130,404
2900028,404
1100085,404
5200047,404
0700232,404
0100160,404
6800010,404
8800460,404
1500132,404
0500040,404
1100086,404
1900007,404
2300095,404
1900004,404
2300096,404
2700049,404
0500041,404
0100163,404
1100087,404
2900031,404
0700235,404
4600480,404
1100091,404
6000017,404
1900010,404
8800688,404
1100088,404
0100166,404
1500133,404
2700052,404
4600540,404
0500044,404
2300097,404
0500043,404
4600520,404
2900037,404
2900034,404
2700055,404
1900013,404
0100168,404
1500136,404
2300098,404
0700237,404
8800285,404
0700238,404
2700058,404
1500139,404
2300100,404
1900016,404
0700241,404
4600560,404
0100169,404
0500059,404
1500142,404
1900019,404
8800465,404
2700061,404
0700247,404
1100097,404
2300101,404
2900043,404
4600640,404
5200048,404
0100170,404
1500145,404
1900022,404
6800013,404
2300103,404
2900046,404
0100172,404
2700064,404
4600680,404
0700248,404
0500063,404
0500050,404
2900040,404
1100094,404
6000019,404
1900025,404
1500148,404
2900049,404
2300106,404
0100175,404
0500065,404
0700249,404
4600700,404
4600760,404
8800690,404
1900028,404
1100098,404
1200001,404
1500151,404
1200075,404
2300109,404
0500070,404
2700070,404
8800290,404
0100178,404
1500154,404
2300112,404
1900031,404
0700250,404
2900052,404
2900055,404
2700067,404
0100181,404
0700251,404
1900034,404
0500072,404
1500157,404
1200150,404
2900058,404
2700073,404
4600815,404
2300115,404
5200049,404
6800017,404
8800470,404
0500076,404
2700074,404
2900061,404
5200042,404
1900037,404
1500160,404
4600830,404
1200170,404
0700253,404
2300118,404
0100184,404
0100187,404
0700256,404
1200180,404
0500073,404
4600800,404
1900040,404
1500163,404
2300120,404
8800700,404
2300121,404
1200225,404
2700075,404
0700262,404
0100191,404
2300123,404
0500079,404
0500078,404
0700259,404
8800305,404
1200200,404
2700071,404
1500169,404
2900064,404
2900067,404
1900044,404
0100190,404
1900043,404
1500166,404
4600840,404
6000021,404
2700079,404
2900070,404
2700076,404
4600850,404
1200300,404
1500172,404
2700080,404
1900046,404
5200050,404
4600865,404
0100192,404
0700265,404
0500082,404
6800022,404
2900073,404
0100196,404
2900076,404
1500175,404
0700271,404
0700268,404
1200410,404
0100193,404
4800001,404
0500084,404
1200375,404
0500091,404
2700082,404
4600880,404
8800490,404
1900049,404
2300124,404
2300125,404
1900047,404
1500178,404
2300127,404
2700085,404
6000022,404
0100199,404
2900079,404
0500094,404
1200415,404
0700274,404
1900050,404
2700088,404
2900080,404
4800002,404
2300130,404
1500181,404
0700277,404
4800004,404
1200450,404
0500095,404
8800745,404
1900051,404
1500184,404
2900082,404
0100205,404
1200525,404
4800005,404
0100202,404
0700280,404
2700091,404
8800315,404
0500097,404
2300133,404
1500193,404
2300136,404
8800495,404
5200055,404
1200600,404
2700097,404
2700094,404
7200001,404
0700281,404
2900085,404
4800006,404
1500190,404
1900055,404
1900052,404
2300139,404
0500106,404
0500110,404
4800007,404
0700282,404
2900087,404
1200608,404
0100208,404
1500196,404
1900056,404
2700100,404
2300142,404
0100206,404
4800008,404
6000030,404
2900088,404
0700283,404
1500198,404
1200625,404
0500113,404
2300145,404
2900089,404
0100211,404
1900058,404
0100214,404
8800755,404
2700103,404
8800325,404
4800009,404
1900061,404
1200650,404
1500199,404
0700286,404
2400001,404
0500118,404
2700106,404
8800560,404
0700289,404
4800010,404
0100217,404
2900091,404
0500121,404
1200700,404
1500202,404
2400008,404
1900064,404
2700109,404
8800500,404
4800011,404
5200058,404
7200002,404
2900094,404
