mpio_reg_code_7,votantes,votos_validos,votos_blanco,votos_nulos,indig_0011,indig_0285,indig_0234,indig_0006,indig_0306,indig_0252,indig_0188,indig_0237,indig_0300,indig_0347,icand_0011_000000|SOLO POR LA LISTA,icand_0011_000201|MARTHA ISABEL PERALTA EPIEYU,icand_0011_000202|NELSON CUCUÑAME LULIGO,icand_0011_000203|JULIO CESAR ESTRADA CORDERO,icand_0285_000000|SOLO POR LA LISTA,icand_0285_000201|RICHARD HUMBERTO FUELANTALA DELGADO,icand_0285_000202|ANTONIO DE JESUS GUEVARA BETANCUR,icand_0285_000203|ZUNILDA AMAYA URIANA,icand_0234_000000|SOLO POR LA LISTA,icand_0234_000201|LOT USIEL VILLAZON ARIAS,icand_0234_000202|MARIA YANETH CASTILLO MARCHENA,icand_0234_000203|ATANACIO MOSCOTE GIL,icand_0006_000000|SOLO POR LA LISTA,icand_0006_000201|JESUS OMERO CUASAPUD CHASPUENGAL,icand_0006_000202|MARIA ESPERANZA TARAPUEZ GUEPUD,icand_0006_000203|RUBEN MARINO BORJE,icand_0306_000000|SOLO POR LA LISTA,icand_0306_000201|ANDRES AGREDA CHICUNQUE,icand_0252_000000|SOLO POR LA LISTA,icand_0252_000201|JOSE MANUEL MAESTRE BELLO,icand_0252_000202|HERMES BOCANEGRA BARBOSA,icand_0252_000203|MARIA ARIXMENDI JULIAN USNAS,icand_0188_000000|SOLO POR LA LISTA,icand_0188_000201|JOSE WILMAN TUMBO CHEPE,icand_0188_000202|MANUEL JESUS MAVISOY JUAGIBIOY,icand_0188_000203|LUZ EMILSE PANCHI,icand_0237_000000|SOLO POR LA LISTA,icand_0237_000201|CARLOS ALBERTO REDONDO RINCON,icand_0300_000000|SOLO POR LA LISTA,icand_0300_000202|ROSA ELENA MONTAÑO SALGADO,icand_0300_000203|OSWALDO WILFREDO HUETIO PRIETO,icand_0347_000000|SOLO POR LA LISTA,icand_0347_000201|FABIAN JOSE ARRIETA ALDANA,censo,mesas_total,mesas_escrutadas,turnout_pct,pct_blanco,pct_nulo,winner_col,winner_votes,winner_pct,winner,winner_color,mpio_name_reg,mpio_dane_code,mpio_name_dane,dept_reg_code,dept_dane_code
0700253,9,6,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,66.66666666666666,33.33333333333333,indig_0006,2,33.33333333333333,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",#C05B16,SANTA ROSA DE VITERBO,15693,SANTA ROSA DE VITERBO,0700,07
0700256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,indig_0011,0,,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SANTA SOFIA,15696,SANTA SOFÍA,0700,07
0700259,16,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,12.5,indig_0011,2,66.66666666666666,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SATIVANORTE,15720,SATIVANORTE,0700,07
0700262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,indig_0011,0,,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SATIVASUR,15723,SATIVASUR,0700,07
0700265,6,5,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,16.666666666666664,indig_0006,4,80.0,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",#C05B16,SIACHOQUE,15740,SIACHOQUE,0700,07
0700268,63,62,0,0,61,0,0,0,1,0,0,0,0,0,0,55,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,indig_0011,61,98.38709677419355,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SOATA,15753,SOATÁ,0700,07
0700271,54,32,7,7,25,0,0,0,0,0,0,0,0,0,1,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21.875,12.962962962962962,indig_0011,25,78.125,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SOCOTA,15755,SOCOTÁ,0700,07
0700274,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0,25.0,indig_0011,0,0.0,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SOCHA,15757,SOCHA,0700,07
0700277,324,225,104,73,48,3,59,1,0,1,2,1,3,3,7,31,5,5,1,1,0,1,59,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0,1,3,0,0,0,0,,46.22222222222222,22.530864197530864,indig_0234,59,26.222222222222225,ASOCIACIÓN DE CABILDOS INDÍGENAS POR COLOMBIA,#0B5C59,SOGAMOSO,15759,SOGAMOSO,0700,07
0700280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,indig_0011,0,,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SOMONDOCO,15761,SOMONDOCO,0700,07
0700281,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,indig_0011,0,,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SORA,15762,SORA,0700,07
0700282,79,46,25,11,12,0,0,7,0,0,2,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,54.347826086956516,13.924050632911392,indig_0011,12,26.08695652173913,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SORACA,15764,SORACÁ,0700,07
0700283,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,indig_0006,5,100.0,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",#C05B16,SOTAQUIRA,15763,SOTAQUIRÁ,0700,07
0700286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,indig_0011,0,,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SUSACON,15774,SUSACÓN,0700,07
0700289,11,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0,27.27272727272727,indig_0011,0,0.0,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SUTAMARCHAN,15776,SUTAMARCHÁN,0700,07
0700292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,indig_0011,0,,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SUTATENZA,15778,SUTATENZA,0700,07
