mesa_id,partido_posicion,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
000962,19,FE EN EL PERÚ,0.0,0.0,0.0,
000962,20,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.0,0.0,0.0,
000962,21,FUERZA POPULAR,28.0,28.0,0.0,0.0
000962,22,ALIANZA PARA EL PROGRESO,5.0,5.0,0.0,0.0
000962,23,PARTIDO POLÍTICO COOPERACIÓN POPULAR,6.0,6.0,0.0,0.0
000962,24,AHORA NACIÓN - AN,4.0,4.0,0.0,0.0
000962,25,LIBERTAD POPULAR,0.0,0.0,0.0,
000962,26,UN CAMINO DIFERENTE,2.0,2.0,0.0,0.0
000962,27,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0,0.0,0.0,
000962,28,PERÚ MODERNO,0.0,0.0,0.0,
000962,29,PARTIDO POLÍTICO PERÚ PRIMERO,0.0,0.0,0.0,
000962,30,SALVEMOS AL PERÚ,1.0,0.0,-1.0,-100.0
000962,31,PARTIDO DEMOCRÁTICO SOMOS PERÚ,2.0,3.0,1.0,50.0
000962,32,PARTIDO APRISTA PERUANO,1.0,1.0,0.0,0.0
000962,33,RENOVACIÓN POPULAR,6.0,6.0,0.0,0.0
000962,34,PARTIDO DEMÓCRATA UNIDO PERÚ,0.0,0.0,0.0,
000962,35,FUERZA Y LIBERTAD,0.0,0.0,0.0,
000962,36,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.0,0.0,0.0,
000962,37,UNIDAD NACIONAL,0.0,0.0,0.0,
000962,38,PARTIDO MORADO,0.0,0.0,0.0,
000962,80,VOTOS EN BLANCO,36.0,32.0,-4.0,-11.11111111111111
000962,81,VOTOS NULOS,6.0,7.0,1.0,16.666666666666664
000962,99,TOTAL DE CIUDADANOS QUE VOTARON,174.0,174.0,0.0,0.0
000990,1,ALIANZA ELECTORAL VENCEREMOS,3.0,3.0,0.0,0.0
000990,2,PARTIDO PATRIÓTICO DEL PERÚ,1.0,1.0,0.0,0.0
000990,3,PARTIDO CÍVICO OBRAS,23.0,23.0,0.0,0.0
000990,4,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000990,5,PARTIDO DEMÓCRATA VERDE,2.0,2.0,0.0,0.0
000990,6,PARTIDO DEL BUEN GOBIERNO,2.0,2.0,0.0,0.0
000990,7,PARTIDO POLÍTICO PERÚ ACCIÓN,0.0,0.0,0.0,
000990,8,PARTIDO POLÍTICO PRIN,0.0,0.0,0.0,
000990,9,PROGRESEMOS,0.0,0.0,0.0,
