mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_31_000001|MAURICIO CARDENAS SANTAMARIA,cand_31_000002|DAVID ANDRES LUNA SANCHEZ,cand_31_000003|VICTORIA EUGENIA DAVILA HOYOS,cand_31_000004|JUAN MANUEL GALAN PACHON,cand_31_000005|PALOMA SUSANA VALENCIA LASERNA,cand_31_000006|JUAN CARLOS PINZON BUENO,cand_31_000007|ANIBAL GAVIRIA CORREA,cand_31_000008|ENRIQUE PEÑALOSA LONDOÑO,cand_31_000009|JUAN DANIEL OVIEDO ARANGO
1100094,68,68,21556,695,91,254,0,350,6,13,16,21,72,9,4,4,20
1100097,44,44,13520,516,63,96,0,357,1,3,12,9,187,12,1,6,32
1100098,49,49,15894,910,206,199,0,505,5,3,16,36,134,21,5,6,52
1200001,1047,1046,349551,68841,6403,7051,0,55387,1662,2400,2836,2436,26412,1264,391,926,4958
1200075,245,245,78338,13784,1377,1564,0,10843,46,204,650,496,6185,267,52,139,909
1200150,157,157,54423,9088,762,1436,0,6890,132,160,291,269,2788,127,39,95,394
1200170,53,53,17189,2002,85,409,0,1508,9,20,69,43,973,19,8,10,48
1200180,62,62,19915,2134,191,462,0,1481,18,38,67,72,569,26,3,27,94
1200200,104,104,33947,2680,285,415,0,1980,16,60,96,115,1002,54,8,27,140
1200225,100,100,31596,2866,238,506,0,2122,77,45,98,96,1118,56,15,28,139
1200300,86,86,26644,2947,201,451,0,2295,6,29,112,73,1255,53,6,25,54
1200375,77,77,25314,3482,275,514,0,2693,101,267,115,87,1043,49,10,44,266
1200410,82,82,26359,2204,247,398,0,1559,8,39,66,106,838,42,5,20,91
1200415,86,86,29352,2820,307,523,0,1990,18,45,86,74,876,43,12,25,162
1200450,38,38,11458,1190,80,148,0,962,7,16,44,38,608,24,3,10,64
1200525,19,19,4922,601,46,80,0,475,2,13,29,21,250,18,3,7,40
1200600,39,39,11902,1309,91,265,0,953,4,30,39,37,604,22,6,11,61
1200608,101,101,32951,3645,495,703,0,2447,34,109,130,140,926,66,15,43,209
1200625,31,31,9357,1505,138,188,0,1179,9,38,52,46,692,35,4,11,53
1200650,52,52,16794,2292,164,414,0,1714,9,24,72,124,1069,67,12,16,81
1200700,53,53,17469,1702,130,207,0,1365,6,20,78,69,810,32,5,16,100
1200720,73,73,23782,1732,192,371,0,1169,9,39,64,55,593,28,8,15,85
1200750,56,56,16963,2517,183,341,0,1993,27,35,79,57,1194,85,10,38,183
1200800,65,65,20487,3127,279,360,0,2488,9,22,128,121,1301,85,15,37,188
1200825,74,74,23907,3597,267,640,0,2690,31,73,128,102,1549,55,16,33,163
1200850,55,55,17333,2643,198,354,0,2091,20,90,74,62,1220,36,8,17,118
1200875,63,63,19805,3145,305,294,0,2546,15,50,98,115,1532,116,11,42,154
1200900,38,38,11595,1172,85,217,0,870,68,30,34,26,507,17,5,12,32
1300001,1138,1135,376892,77961,8145,11828,0,57988,374,2035,2355,3059,25604,1579,399,823,6549
1300004,117,117,36987,2356,150,421,0,1785,8,26,57,87,976,31,18,17,74
1300007,64,64,19576,1195,79,238,0,878,4,17,38,46,367,27,9,14,71
1300009,58,58,18357,918,57,128,0,733,5,12,20,41,390,29,6,7,33
1300010,238,238,79395,12885,1511,2401,0,8973,64,302,434,442,3768,217,54,169,955
1300013,152,152,49141,3981,422,774,0,2785,17,70,106,112,1226,61,15,39,241
1300014,52,52,16845,1714,88,332,0,1294,11,59,49,63,573,25,6,20,94
1300016,43,43,13686,967,63,133,0,771,2,17,41,26,378,34,7,6,50
1300019,137,137,40765,5082,431,703,0,3948,16,111,157,158,2205,150,27,48,200
1300020,41,41,13126,849,64,252,0,533,5,10,27,36,212,14,3,4,42
1300022,287,287,94814,9158,707,1339,0,7112,37,203,306,309,3303,134,30,93,450
1300023,56,56,16858,1121,54,181,0,886,3,12,36,44,511,26,5,8,40
1300024,46,46,15124,1370,67,197,0,1106,2,17,42,60,573,19,5,9,98
1300025,187,187,63800,5426,615,1125,0,3686,26,107,128,208,1328,68,46,53,343
1300027,69,69,22402,1659,90,348,0,1221,16,14,51,62,630,35,10,20,60
1300028,162,162,57839,4972,472,755,0,3745,20,85,114,177,1888,97,26,45,366
1300031,90,90,28189,1896,142,275,0,1479,9,37,58,61,806,54,16,22,92
1300032,102,102,32875,2383,210,609,0,1564,10,26,63,84,546,45,18,28,111
1300033,65,65,20510,1526,83,281,0,1162,4,21,38,59,614,23,12,15,57
1300034,47,47,14875,1535,101,331,0,1103,5,28,77,41,527,30,5,20,67
1300037,271,271,86638,9017,813,1363,0,6841,40,177,235,278,2800,314,177,98,489
1300040,99,99,32798,2042,148,388,0,1506,16,37,89,78,667,44,13,26,88
1300043,78,78,25053,2541,158,630,0,1753,9,40,95,85,890,55,12,32,73
1300046,92,92,29363,1951,208,472,0,1271,17,20,62,57,587,29,13,30,94
1300049,69,69,22129,2113,117,436,0,1560,12,29,64,65,769,42,7,28,85
1300052,31,31,8745,654,67,193,0,394,3,2,9,20,123,18,2,4,24
1300055,116,116,39286,4759,395,878,0,3486,15,81,163,138,1457,95,29,46,287
1300058,231,229,73305,6161,445,1484,0,4232,31,71,151,192,1757,113,34,58,232
1300060,89,89,28285,1957,132,494,0,1331,10,24,76,71,677,24,5,12,67
1300061,93,93,29327,2327,135,445,0,1747,16,46,63,77,686,47,18,18,116
1500004,30,30,10001,1647,108,87,0,1452,7,36,47,51,696,77,4,21,258
1500007,17,17,5545,1209,88,52,0,1069,3,12,26,59,558,48,1,12,181
1500010,41,41,13487,3460,197,217,0,3046,34,97,94,136,1667,131,19,77,412
1500013,38,38,12351,2773,158,143,0,2472,28,41,52,148,1278,127,14,55,391
1500016,31,31,9943,2684,172,176,0,2336,23,28,63,63,1283,110,4,52,306
1500019,7,7,2278,456,40,53,0,363,3,3,7,14,246,4,1,1,35
1500022,11,11,3023,754,34,74,0,646,3,8,15,21,352,25,7,15,81
1500025,23,23,7519,2134,253,126,0,1755,10,27,79,119,466,105,8,35,503
1500029,12,12,3687,263,19,16,0,228,0,1,3,17,105,7,0,0,23
1500030,31,31,9965,1957,101,67,0,1789,14,29,59,86,961,74,6,30,279
1500031,201,201,65041,25415,1687,446,0,23282,384,327,438,1570,8888,1173,89,701,6070
1500034,37,37,10960,1854,91,161,0,1602,4,22,40,44,1106,48,7,12,158
1500037,48,48,15096,3399,260,176,0,2963,13,43,73,121,1495,113,7,63,524
1500040,21,21,6504,1229,102,65,0,1062,7,6,44,45,534,74,2,21,153
1500043,52,52,16878,4686,441,203,0,4042,22,51,155,207,1377,222,25,96,945
1500046,96,96,31160,9026,465,151,0,8410,122,105,192,348,3379,509,26,342,2268
1500049,17,17,5394,1322,87,70,0,1165,7,11,59,40,645,92,4,16,130
1500052,13,13,4094,1013,55,79,0,879,4,8,12,21,625,32,4,11,63
1500055,360,360,120600,48750,3210,1118,0,44422,675,698,1076,1943,17470,2476,187,1542,11738
1500058,26,26,8624,1985,173,153,0,1659,12,20,47,81,762,70,7,69,311
1500061,38,38,12241,3030,153,90,0,2787,11,37,72,66,1619,114,6,59,507
1500064,53,53,17107,4276,346,260,0,3670,86,50,149,224,1445,227,16,93,687
1500067,73,73,23977,4584,308,303,0,3973,26,53,123,243,1852,230,25,99,640
1500070,15,15,4653,809,26,84,0,699,1,8,14,32,462,29,2,11,81
1500072,61,61,20092,6404,891,407,0,5106,31,53,204,471,1743,202,20,122,1010
1500076,325,325,104175,27814,3115,982,0,23717,177,229,723,1447,6816,1179,103,491,7582
1500079,32,32,10062,2777,161,169,0,2447,33,25,71,82,1478,133,10,38,285
1500085,18,18,5689,1038,52,74,0,912,10,5,12,16,606,38,2,7,123
1500088,250,250,80065,22249,2114,786,0,19349,158,227,514,1237,5326,982,84,531,6202
1500091,13,13,4312,1146,91,82,0,973,5,3,47,66,421,28,4,23,168
1500094,372,372,122077,34404,3203,1546,0,29655,216,250,913,1612,13148,1295,129,707,6065
1500097,19,19,5309,963,29,25,0,909,5,6,10,28,504,66,8,23,110
1500100,38,38,12669,2940,378,147,0,2415,22,21,77,137,768,127,8,37,586
1500103,29,29,9050,2213,129,154,0,1930,6,32,38,64,1107,60,9,36,280
1500106,10,10,3192,784,40,55,0,689,4,11,28,26,359,40,1,5,87
1500109,267,267,87859,22806,2367,1155,0,19284,105,208,699,1085,9232,732,85,387,3026
1500112,30,30,9599,1992,156,138,0,1698,12,11,99,128,694,64,6,31,274
1500115,77,77,22959,4968,417,410,0,4141,22,32,165,255,2363,121,12,53,537
1500118,38,38,12364,3371,270,161,0,2940,23,28,122,132,1142,167,22,70,632
1500121,9,9,2802,334,27,35,0,272,0,2,2,20,164,7,3,4,24
1500124,17,17,5645,1377,67,50,0,1260,11,18,31,50,566,68,6,41,258
1500127,16,16,4604,1256,66,80,0,1110,10,13,38,38,557,42,3,31,165
1500128,15,15,4776,1153,79,97,0,977,4,3,26,25,726,22,5,7,76
1500130,9,9,2930,774,36,83,0,655,4,7,9,15,443,21,4,8,44
1500132,21,21,6720,1198,125,83,0,990,7,6,45,68,447,44,2,15,196
1500133,9,9,2873,449,23,27,0,399,2,4,11,15,259,10,1,4,39
1500136,18,18,5499,1171,91,105,0,975,4,11,33,53,531,81,1,22,90
1500139,80,80,25398,7874,489,260,0,7125,127,101,159,308,2684,397,34,233,1916
1500142,87,87,27969,6395,484,301,0,5610,75,71,148,397,2490,299,25,157,1005
