mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_32_000001|HECTOR ELIAS PINEDA SALAZAR,cand_32_000002|EDISON LUCIO TORRES MORENO,cand_32_000003|ROY LEONARDO BARRERAS MONTEALEGRE,cand_32_000004|MARTHA VIVIANA BERNAL AMAYA,cand_32_000005|DANIEL QUINTERO CALLE
1100076,247,247,86978,9269,1397,1183,0,6689,47,99,617,58,426
1100079,19,19,4311,346,17,69,0,260,0,4,27,0,10
1100082,81,81,24867,1787,171,361,0,1255,8,17,72,10,208
1100085,29,29,7852,878,88,198,0,592,1,9,29,4,31
1100086,23,23,6195,168,10,52,0,106,0,2,7,0,14
1100087,62,62,19307,2161,355,523,0,1283,6,20,347,4,47
1100088,93,93,28887,4091,486,619,0,2986,8,29,200,13,89
1100091,61,54,16363,471,45,105,0,321,3,12,95,2,10
1100094,68,68,21556,695,91,254,0,350,12,22,48,3,47
1100097,44,44,13520,516,63,96,0,357,4,3,20,2,33
1100098,49,49,15894,910,206,199,0,505,8,23,116,8,24
1200001,1047,1046,349551,68841,6403,7051,0,55387,401,631,3776,441,1968
1200075,245,245,78338,13784,1377,1564,0,10843,48,115,526,78,347
1200150,157,157,54423,9088,762,1436,0,6890,56,147,1391,43,311
1200170,53,53,17189,2002,85,409,0,1508,14,30,94,9,46
1200180,62,62,19915,2134,191,462,0,1481,16,45,72,16,76
1200200,104,104,33947,2680,285,415,0,1980,17,62,149,15,75
1200225,100,100,31596,2866,238,506,0,2122,24,48,59,25,99
1200300,86,86,26644,2947,201,451,0,2295,10,34,74,16,76
1200375,77,77,25314,3482,275,514,0,2693,22,56,299,19,118
1200410,82,82,26359,2204,247,398,0,1559,17,47,100,12,66
1200415,86,86,29352,2820,307,523,0,1990,27,65,198,19,121
1200450,38,38,11458,1190,80,148,0,962,1,11,55,3,30
1200525,19,19,4922,601,46,80,0,475,5,9,21,2,17
