mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_30_000001|CLAUDIA NAYIBE LOPEZ HERNANDEZ,cand_30_000002|LEONARDO HUMBERTO HUERTA GUTIERREZ
1100097,44,44,13520,516,63,96,0,357,30,2
1100098,49,49,15894,910,206,199,0,505,41,7
1200001,1047,1046,349551,68841,6403,7051,0,55387,4294,591
1200075,245,245,78338,13784,1377,1564,0,10843,668,113
1200150,157,157,54423,9088,762,1436,0,6890,577,70
1200170,53,53,17189,2002,85,409,0,1508,72,44
1200180,62,62,19915,2134,191,462,0,1481,277,65
1200200,104,104,33947,2680,285,415,0,1980,125,19
1200225,100,100,31596,2866,238,506,0,2122,174,21
1200300,86,86,26644,2947,201,451,0,2295,167,305
1200375,77,77,25314,3482,275,514,0,2693,170,27
1200410,82,82,26359,2204,247,398,0,1559,86,16
1200415,86,86,29352,2820,307,523,0,1990,180,39
1200450,38,38,11458,1190,80,148,0,962,47,1
1200525,19,19,4922,601,46,80,0,475,37,1
1200600,39,39,11902,1309,91,265,0,953,77,4
1200608,101,101,32951,3645,495,703,0,2447,289,48
1200625,31,31,9357,1505,138,188,0,1179,102,11
1200650,52,52,16794,2292,164,414,0,1714,88,15
1200700,53,53,17469,1702,130,207,0,1365,84,15
1200720,73,73,23782,1732,192,371,0,1169,63,14
1200750,56,56,16963,2517,183,341,0,1993,93,10
1200800,65,65,20487,3127,279,360,0,2488,355,12
1200825,74,74,23907,3597,267,640,0,2690,179,38
1200850,55,55,17333,2643,198,354,0,2091,116,40
1200875,63,63,19805,3145,305,294,0,2546,151,14
1200900,38,38,11595,1172,85,217,0,870,49,8
1300001,1138,1135,376892,77961,8145,11828,0,57988,5885,596
1300004,117,117,36987,2356,150,421,0,1785,170,11
1300007,64,64,19576,1195,79,238,0,878,67,25
1300009,58,58,18357,918,57,128,0,733,56,4
1300010,238,238,79395,12885,1511,2401,0,8973,997,135
1300013,152,152,49141,3981,422,774,0,2785,213,17
1300014,52,52,16845,1714,88,332,0,1294,135,13
1300016,43,43,13686,967,63,133,0,771,44,10
1300019,137,137,40765,5082,431,703,0,3948,259,34
1300020,41,41,13126,849,64,252,0,533,66,6
1300022,287,287,94814,9158,707,1339,0,7112,550,59
1300023,56,56,16858,1121,54,181,0,886,73,7
1300024,46,46,15124,1370,67,197,0,1106,46,5
1300025,187,187,63800,5426,615,1125,0,3686,450,64
1300027,69,69,22402,1659,90,348,0,1221,129,16
1300028,162,162,57839,4972,472,755,0,3745,270,35
1300031,90,90,28189,1896,142,275,0,1479,83,14
1300032,102,102,32875,2383,210,609,0,1564,192,25
1300033,65,65,20510,1526,83,281,0,1162,105,12
1300034,47,47,14875,1535,101,331,0,1103,95,7
1300037,271,271,86638,9017,813,1363,0,6841,539,67
1300040,99,99,32798,2042,148,388,0,1506,137,4
1300043,78,78,25053,2541,158,630,0,1753,143,25
1300046,92,92,29363,1951,208,472,0,1271,142,15
1300049,69,69,22129,2113,117,436,0,1560,169,21
1300052,31,31,8745,654,67,193,0,394,64,9
1300055,116,116,39286,4759,395,878,0,3486,450,43
1300058,231,229,73305,6161,445,1484,0,4232,634,47
1300060,89,89,28285,1957,132,494,0,1331,112,16
1300061,93,93,29327,2327,135,445,0,1747,254,38
1500004,30,30,10001,1647,108,87,0,1452,180,5
1500007,17,17,5545,1209,88,52,0,1069,115,4
1500010,41,41,13487,3460,197,217,0,3046,216,21
1500013,38,38,12351,2773,158,143,0,2472,222,6
1500016,31,31,9943,2684,172,176,0,2336,289,21
1500019,7,7,2278,456,40,53,0,363,21,2
1500022,0,0,0,0,0,0,0,0,0,0
1500025,23,23,7519,2134,253,126,0,1755,257,9
1500029,12,12,3687,263,19,16,0,228,47,0
1500030,31,31,9965,1957,101,67,0,1789,159,7
1500031,201,201,65041,25415,1687,446,0,23282,2521,68
1500034,37,37,10960,1854,91,161,0,1602,90,2
1500037,48,48,15096,3399,260,176,0,2963,314,14
1500040,21,21,6504,1229,102,65,0,1062,123,3
1500043,52,52,16878,4686,441,203,0,4042,669,18
1500046,96,96,31160,9026,465,151,0,8410,668,18
1500049,17,17,5394,1322,87,70,0,1165,97,3
1500052,13,13,4094,1013,55,79,0,879,65,2
1500055,360,360,120600,48750,3210,1118,0,44422,4350,108
1500058,26,26,8624,1985,173,153,0,1659,171,6
1500061,38,38,12241,3030,153,90,0,2787,163,5
1500064,53,53,17107,4276,346,260,0,3670,488,46
1500067,73,73,23977,4584,308,303,0,3973,456,24
1500070,15,15,4653,809,26,84,0,699,41,2
1500072,61,61,20092,6404,891,407,0,5106,867,31
1500076,325,325,104175,27814,3115,982,0,23717,3226,115
1500079,32,32,10062,2777,161,169,0,2447,182,10
1500085,18,18,5689,1038,52,74,0,912,44,10
1500088,250,250,80065,22249,2114,786,0,19349,2624,84
1500091,13,13,4312,1146,91,82,0,973,151,4
1500094,372,372,122077,34404,3203,1546,0,29655,3283,102
1500097,19,19,5309,963,29,25,0,909,92,11
1500100,38,38,12669,2940,378,147,0,2415,421,15
1500103,29,29,9050,2213,129,154,0,1930,210,14
1500106,10,10,3192,784,40,55,0,689,80,4
1500109,267,267,87859,22806,2367,1155,0,19284,2146,91
1500112,30,30,9599,1992,156,138,0,1698,253,10
1500115,77,77,22959,4968,417,410,0,4141,341,11
1500118,38,38,12364,3371,270,161,0,2940,421,19
1500121,9,9,2802,334,27,35,0,272,21,0
1500124,17,17,5645,1377,67,50,0,1260,153,2
1500127,16,16,4604,1256,66,80,0,1110,127,6
1500128,15,15,4776,1153,79,97,0,977,36,4
1500130,9,9,2930,774,36,83,0,655,54,5
1500132,21,21,6720,1198,125,83,0,990,103,5
1500133,9,9,2873,449,23,27,0,399,34,5
1500136,18,18,5499,1171,91,105,0,975,93,4
1500139,80,80,25398,7874,489,260,0,7125,707,23
1500142,87,87,27969,6395,484,301,0,5610,593,14
1500145,28,28,8561,1217,73,122,0,1022,83,4
1500148,20,20,6159,1452,47,175,0,1230,47,5
1500151,44,44,14488,3479,203,131,0,3145,232,4
1500154,24,24,7635,2830,139,162,0,2529,182,12
1500157,20,20,6670,1945,88,119,0,1738,115,1
1500160,273,273,88351,25795,2898,1079,0,21818,3294,129
1500163,13,13,4101,1195,48,89,0,1058,53,3
1500166,26,26,7047,1381,52,80,0,1249,24,4
1500169,292,292,95183,24883,1948,648,0,22287,2530,92
1500172,9,9,2949,531,48,49,0,434,37,4
1500175,35,35,11406,3106,349,200,0,2557,332,26
1500178,20,20,6502,1367,109,134,0,1124,96,6
