mpio_reg_code_7,dept_reg_code,dept_name,mpio_name,is_exterior,censo,num_mesas
0900079,0900,CALDAS,PACORA,False,12207,42
0900082,0900,CALDAS,PALESTINA,False,15170,48
0900085,0900,CALDAS,PENSILVANIA,False,16830,55
0900103,0900,CALDAS,RIOSUCIO,False,41515,130
0900106,0900,CALDAS,RISARALDA,False,10724,34
0900109,0900,CALDAS,SALAMINA,False,15051,49
0900115,0900,CALDAS,SAMANA,False,16905,54
0900120,0900,CALDAS,SAN JOSE,False,5070,17
0900124,0900,CALDAS,SUPIA,False,24116,78
0900127,0900,CALDAS,VICTORIA,False,8601,28
0900130,0900,CALDAS,VILLAMARIA,False,48037,154
0900133,0900,CALDAS,VITERBO,False,13494,47
1100001,1100,CAUCA,POPAYAN,False,267293,801
1100004,1100,CAUCA,ALMAGUER,False,13202,45
1100005,1100,CAUCA,ARGELIA,False,22750,74
1100006,1100,CAUCA,BALBOA,False,17546,55
1100007,1100,CAUCA,BOLIVAR,False,30906,122
1100010,1100,CAUCA,BUENOS AIRES,False,18843,61
1100013,1100,CAUCA,CAJIBIO,False,27053,85
1100016,1100,CAUCA,CALDONO,False,26450,79
1100019,1100,CAUCA,CALOTO,False,21523,70
1100022,1100,CAUCA,CORINTO,False,19528,61
1100025,1100,CAUCA,EL TAMBO,False,38686,137
1100027,1100,CAUCA,FLORENCIA,False,5128,17
1100028,1100,CAUCA,GUAPI,False,19719,74
1100029,1100,CAUCA,GUACHENE,False,14880,48
1100031,1100,CAUCA,INZA,False,19578,65
1100034,1100,CAUCA,JAMBALO,False,10414,34
1100037,1100,CAUCA,LA SIERRA,False,9438,31
1100040,1100,CAUCA,LA VEGA,False,15469,54
1100043,1100,CAUCA,LOPEZ (MICAY),False,14067,62
1100046,1100,CAUCA,MERCADERES,False,14375,49
1100049,1100,CAUCA,MIRANDA,False,22350,72
1100052,1100,CAUCA,MORALES,False,23293,77
1100053,1100,CAUCA,PADILLA,False,7431,25
1100055,1100,CAUCA,PAEZ (BELALCAZAR),False,23079,81
1100058,1100,CAUCA,PATIA (EL BORDO),False,27951,93
1100060,1100,CAUCA,PIAMONTE,False,6824,26
1100061,1100,CAUCA,PIENDAMO,False,32510,105
1100064,1100,CAUCA,PUERTO TEJADA,False,35735,104
1100067,1100,CAUCA,PURACE (COCONUCO),False,10146,32
1100070,1100,CAUCA,ROSAS,False,8963,30
