mpio_reg_code_7,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,mesas_total,mesas_escrutadas,cand_cepeda,cand_valencia,cand_delaespriella,cand_claudialopez,cand_barreras,cand_fajardo,cand_caicedo,cand_lizcano,cand_uribe,cand_botero,cand_macollins,cand_matamoros,cand_murillo
4800001,156388,66355,661,143,1195,65551,471,439,35003,2056,25348,183,22,1092,43,96,64,367,40,15,27
4800002,22201,9724,108,30,114,9586,65,63,6826,102,2314,20,5,74,8,25,7,76,3,11,1
4800004,27356,12260,61,9,120,12190,82,82,8124,281,3419,24,4,110,9,23,15,53,2,3,3
4800005,24486,8796,47,32,124,8717,74,73,5462,150,2749,17,5,71,11,14,5,94,8,2,5
4800006,9208,4285,43,9,49,4233,27,27,2114,73,1926,6,1,29,1,9,1,20,1,1,2
4800007,32395,14339,74,19,210,14246,99,95,8842,281,4603,30,11,167,5,19,7,58,9,1,3
4800008,11585,4818,25,12,58,4781,36,35,2676,73,1890,6,3,28,3,7,4,28,3,1,1
4800009,16408,7126,31,19,85,7076,48,47,4920,99,1819,14,10,65,6,12,4,35,3,2,2
4800010,141996,50045,450,113,826,49482,401,398,25453,1033,20756,146,48,588,51,123,57,304,53,20,24
4800011,63985,12007,169,63,151,11775,190,174,7111,487,3587,54,16,93,14,78,26,98,34,17,9
4800012,5367,2586,23,7,40,2556,16,16,1435,43,992,1,0,21,1,4,1,15,1,0,2
4800013,36558,18665,156,39,237,18470,114,113,7233,524,10131,26,10,161,10,21,15,83,12,1,6
4800016,131218,21565,403,163,278,20999,385,363,11719,501,7682,88,33,144,42,158,60,207,38,29,20
4800018,9383,5345,28,7,68,5310,28,28,3036,47,2087,7,2,41,0,3,0,15,0,0,4
4800020,20312,9844,99,16,120,9729,59,58,4920,236,4208,19,7,144,4,16,9,37,5,0,4
5000001,27879,9623,71,28,200,9524,84,84,4926,598,3351,88,6,164,8,19,26,113,13,1,11
5000070,5484,1579,10,14,21,1555,18,17,1334,14,113,15,3,9,4,9,9,15,5,1,3
5000073,265,41,0,0,3,41,1,1,31,1,4,2,0,0,0,0,0,0,0,0,0
5000078,211,63,0,0,0,63,1,1,25,5,24,2,0,5,0,1,0,0,0,1,0
5000083,238,56,0,0,0,56,1,1,43,7,4,0,0,1,0,0,1,0,0,0,0
5000087,624,247,0,1,14,246,4,4,144,39,36,4,0,3,0,0,3,1,2,0,0
5000090,1274,226,0,0,1,226,5,5,88,10,115,1,0,3,2,2,1,1,0,1,1
5000092,925,154,1,0,4,153,3,3,64,13,64,0,0,2,0,0,3,2,0,0,1
5200001,405049,251266,2593,193,3636,248480,1182,1145,75771,19610,131520,1616,110,10926,61,327,247,4287,162,63,144
5200005,78857,56891,1577,79,1087,55235,229,221,16819,3578,29494,411,33,1938,19,100,59,1576,48,25,48
5200006,5885,3711,94,6,82,3611,19,19,1226,280,1818,15,2,55,1,3,4,121,1,1,2
5200008,6452,4255,84,11,100,4160,20,20,1065,280,2468,7,5,57,3,9,7,157,1,1,0
5200010,13442,10159,254,17,204,9888,40,40,3122,763,5026,69,6,270,1,12,14,379,12,4,6
5200015,5858,3933,26,3,49,3904,17,17,740,320,2654,11,3,65,1,3,2,51,5,0,0
5200020,19932,12010,156,21,225,11833,63,58,3441,900,6604,52,5,329,5,20,11,232,3,2,4
5200025,1484,774,4,1,7,769,7,7,87,111,527,2,1,20,3,2,0,9,0,0,0
5200027,6339,3468,57,10,80,3401,20,20,1529,158,1496,13,2,37,6,4,10,61,2,1,2
5200028,3930,2601,27,10,31,2564,13,13,547,253,1652,8,2,36,0,0,1,29,3,0,2
5200030,10056,5499,100,17,96,5382,31,29,1723,279,3012,18,5,75,1,8,7,148,7,0,3
5200035,60539,31292,554,70,615,30668,175,154,9628,1759,16685,175,25,788,17,40,44,830,37,5,20
5200040,13923,10182,149,30,153,10003,40,39,2390,657,6162,49,7,292,2,5,10,266,5,2,3
