puesto_code,puesto_name,num_mesas,dept_reg_code,dept_name,mpio_reg_code_7,mpio_name,zona_code,zona_name,is_exterior
1300016990017,SITIO VIEJO,6,1300,CORDOBA,1300016,CHIMA,130001699,ZONA99,False
0500028990073,SITIONUEVO,4,0500,BOLIVAR,0500028,MAGANGUE,050002899,ZONA99,False
2100040990050,SITIONUEVO,3,2100,MAGDALENA,2100040,GUAMAL,210004099,ZONA99,False
1700010990061,SIVIRU,3,1700,CHOCO,1700010,BAJO BAUDO (PIZARRO),170001099,ZONA99,False
2800260020001,SN JUAN BAUTISTA LA SALLE,22,2800,SUCRE,2800260,SINCE,280026002,ZONA02,False
0700274990015,SOCHA VIEJO,1,0700,BOYACA,0700274,SOCHA,070027499,ZONA99,False
2700022990070,SOL DE ORIENTE,1,2700,SANTANDER,2700022,BETULIA,270002299,ZONA99,False
1200300990086,SOLEDAD,2,1200,CESAR,1200300,CHIMICHAGUA,120030099,ZONA99,False
2300016990048,SOLEDAD,1,2300,NARIÑO,2300016,BARBACOAS,230001699,ZONA99,False
2300125990060,SOLEDAD,1,2300,NARIÑO,2300125,SANTA BARBARA (ISCUANDE),230012599,ZONA99,False
2500022990025,SOLEDAD,2,2500,NORTE DE SAN,2500022,CONVENCION,250002299,ZONA99,False
1600001070066,SOLEDAD ACOSTA DE SAMPER,11,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000107,ZONA07,False
23001399900T3,SOLEDAD CURAY,1,2300,NARIÑO,2300139,TUMACO,230013999,ZONA99,False
1100091990034,SOLEDAD DE YANTIN,1,1100,CAUCA,1100091,TIMBIQUI,110009199,ZONA99,False
1600001100070,SOLEDAD NORTE,4,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000110,ZONA10,False
2700097990040,SOLFERINO,1,2700,SANTANDER,2700097,GUADALUPE,270009799,ZONA99,False
1100046990030,SOMBRERILLOS,2,1100,CAUCA,1100046,MERCADERES,110004699,ZONA99,False
1600001070077,SONIA OSORIO,3,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000107,ZONA07,False
3100061990029,SONSO,10,3100,VALLE,3100061,GUACARI,310006199,ZONA99,False
2100095990042,SOPLADOR,6,2100,MAGDALENA,2100095,ZONA BANANERA (SEVILLA),210009599,ZONA99,False
0700008990030,SORIANO,1,0700,BOYACA,0700008,AQUITANIA (PUEBLOVIEJO),070000899,ZONA99,False
1600001040007,SOSIEGO,15,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000104,ZONA04,False
1600001190025,SOTAVENTO,32,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000119,ZONA19,False
4600520990080,STA ELENA DE CUSIVA,2,4600,CASANARE,4600520,MANI,460052099,ZONA99,False
3100001320002,STA ISABEL DE HUNGRIA CALIMIO DECEPAZ,58,3100,VALLE,3100001,CALI,310000132,ZONA32,False
1700001990028,STA LUCIA DEL FUERTE,1,1700,CHOCO,1700001,QUIBDO,170000199,ZONA99,False
1600001100022,STA. MARIA DEL LAGO,16,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000110,ZONA10,False
1500241990002,SUBIA,9,1500,CUNDINAMARCA,1500241,SILVANIA,150024199,ZONA99,False
2500058990006,SUCRE,1,2500,NORTE DE SAN,2500058,MUTISCUA,250005899,ZONA99,False
1500040990002,SUCRE (CAPILLA DE SUCRE),1,1500,CUNDINAMARCA,1500040,CARMEN DE CARUPA,150004099,ZONA99,False
2300112990023,SUCRE (CONQUISTA),1,2300,NARIÑO,2300112,ROBERTO PAYAN (SAN JOSE),230011299,ZONA99,False
2300016990047,SUCRE (GUINULTE),1,2300,NARIÑO,2300016,BARBACOAS,230001699,ZONA99,False
0100193990005,SUCRE - CASA DE LA CULTURA,3,0100,ANTIOQUIA,0100193,OLAYA,010019399,ZONA99,False
2300049990070,SUCUMBIOS,1,2300,NARIÑO,2300049,FUNES,230004999,ZONA99,False
0700304990029,SUPANECA ARRIBA,2,0700,BOYACA,0700304,TIBANA,070030499,ZONA99,False
2700088990070,SUPATA,1,2700,SANTANDER,2700088,GAMBITA,270008899,ZONA99,False
1600001130031,SUPERCADE CAD,5,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000113,ZONA13,False
1600001110040,SUPERCADE SUBA,33,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000111,ZONA11,False
1600001080029,SUPERIOR AMERICANO,36,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000108,ZONA08,False
1600001040031,SURAMERICA,5,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000104,ZONA04,False
1700037990019,SURAMITA,1,1700,CHOCO,1700037,SAN JOSE DEL PALMAR,170003799,ZONA99,False
0700079990010,SURBA Y BONZA,8,0700,BOYACA,0700079,DUITAMA,070007999,ZONA99,False
1600001070018,SURBANA,10,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000107,ZONA07,False
5200055990005,SURIMENA,4,5200,META,5200055,SAN CARLOS DE GUAROA,520005599,ZONA99,False
1700019990060,SURUCO SAN JOSE,1,1700,CHOCO,1700019,ISTMINA,170001999,ZONA99,False
1700019990050,SURUCO SANTA MONICA,1,1700,CHOCO,1700019,ISTMINA,170001999,ZONA99,False
